Year,Month,Day,Hour,AirQualityStationEoICode,AirPollutant,Concentration
2013,8,1,0,CZ0TNUJ,PM10,19.0
2013,8,1,0,CZ0TNUJ,PM10,19.0
2013,8,2,0,CZ0TNUJ,PM10,24.0
2013,8,2,0,CZ0TNUJ,PM10,24.0
2013,8,3,0,CZ0TNUJ,PM10,26.0
2013,8,3,0,CZ0TNUJ,PM10,26.0
2013,8,4,0,CZ0TNUJ,PM10,19.0
2013,8,4,0,CZ0TNUJ,PM10,19.0
2013,8,5,0,CZ0TNUJ,PM10,17.0
2013,8,5,0,CZ0TNUJ,PM10,17.0
2013,8,6,0,CZ0TNUJ,PM10,28.0
2013,8,6,0,CZ0TNUJ,PM10,28.0
2013,8,7,0,CZ0TNUJ,PM10,28.0
2013,8,7,0,CZ0TNUJ,PM10,28.0
2013,8,8,0,CZ0TNUJ,PM10,35.0
2013,8,8,0,CZ0TNUJ,PM10,35.0
2013,8,9,0,CZ0TNUJ,PM10,24.0
2013,8,9,0,CZ0TNUJ,PM10,24.0
2013,8,10,0,CZ0TNUJ,PM10,12.0
2013,8,10,0,CZ0TNUJ,PM10,12.0
2013,8,11,0,CZ0TNUJ,PM10,16.0
2013,8,11,0,CZ0TNUJ,PM10,16.0
2013,8,12,0,CZ0TNUJ,PM10,18.0
2013,8,12,0,CZ0TNUJ,PM10,18.0
2013,8,13,0,CZ0TNUJ,PM10,16.0
2013,8,13,0,CZ0TNUJ,PM10,16.0
2013,8,14,0,CZ0TNUJ,PM10,21.0
2013,8,14,0,CZ0TNUJ,PM10,21.0
2013,8,15,0,CZ0TNUJ,PM10,17.0
2013,8,15,0,CZ0TNUJ,PM10,17.0
2013,8,16,0,CZ0TNUJ,PM10,23.0
2013,8,16,0,CZ0TNUJ,PM10,23.0
2013,8,17,0,CZ0TNUJ,PM10,23.0
2013,8,17,0,CZ0TNUJ,PM10,23.0
2013,8,18,0,CZ0TNUJ,PM10,20.0
2013,8,18,0,CZ0TNUJ,PM10,20.0
2013,8,19,0,CZ0TNUJ,PM10,21.0
2013,8,19,0,CZ0TNUJ,PM10,21.0
2013,8,20,0,CZ0TNUJ,PM10,16.0
2013,8,20,0,CZ0TNUJ,PM10,16.0
2013,8,21,0,CZ0TNUJ,PM10,18.0
2013,8,21,0,CZ0TNUJ,PM10,18.0
2013,8,22,0,CZ0TNUJ,PM10,21.0
2013,8,22,0,CZ0TNUJ,PM10,21.0
2013,8,23,0,CZ0TNUJ,PM10,22.0
2013,8,23,0,CZ0TNUJ,PM10,22.0
2013,8,24,0,CZ0TNUJ,PM10,21.0
2013,8,24,0,CZ0TNUJ,PM10,21.0
2013,8,25,0,CZ0TNUJ,PM10,16.0
2013,8,25,0,CZ0TNUJ,PM10,16.0
2013,8,26,0,CZ0TNUJ,PM10,19.0
2013,8,26,0,CZ0TNUJ,PM10,19.0
2013,8,27,0,CZ0TNUJ,PM10,23.0
2013,8,27,0,CZ0TNUJ,PM10,23.0
2013,8,28,0,CZ0TNUJ,PM10,29.0
2013,8,28,0,CZ0TNUJ,PM10,29.0
2013,8,29,0,CZ0TNUJ,PM10,23.0
2013,8,29,0,CZ0TNUJ,PM10,23.0
2013,8,30,0,CZ0TNUJ,PM10,25.0
2013,8,30,0,CZ0TNUJ,PM10,25.0
2013,8,31,0,CZ0TNUJ,PM10,23.0
2013,8,31,0,CZ0TNUJ,PM10,23.0
2013,9,1,0,CZ0TNUJ,PM10,13.0
